session_id,session_type,turns,total_input_tokens,total_user_tokens,total_tool_invocations,peak_history_tokens,overall_overhead_pct,overall_user_pct,avg_tool_utilization_pct
S01,trivial_social,4,32116,16,0,1020,99.95,0.05,0.0
S02,factual_qa,3,23765,35,0,820,99.85,0.15,0.0
S03,single_tool_read,2,15943,23,1,920,99.86,0.14,2.2
S04,git_workflow,4,32714,34,4,1400,99.9,0.1,4.3
S05,bug_fix,4,34270,30,6,2200,99.91,0.09,6.5
S06,code_review_large_input,3,29544,1834,2,3000,93.79,6.21,2.9
S07,feature_build,6,58858,61,9,5200,99.9,0.1,6.5
S08,mixed_social_and_code,4,34823,53,7,2600,99.85,0.15,7.6
S09,edge_huge_input,2,24351,4531,0,4820,81.39,18.61,0.0
S10,agentic_loop,8,112488,88,19,14200,99.92,0.08,10.3
S11,pair_programming,5,41379,59,0,1530,99.86,0.14,0.0
